Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M,M_noise,y_50,y_10,y_25,index_reduced,index_og,s1,s2,in_sample
147926,85333276,15.8833,-4.30793,-0.517969,-15.2792,4.33895,-1.97158,-3.02193,1,50.2075,-7.64078,13.7182,-47.6888,15.7026,-1.83008,2.07898,-1,9.27426,20.10842383567593,False,False,False,0,82260,-15.2792,-36.03708158874794,0
148031,281560866,20.4772,-13.9966,-11.3328,9.74581,18.0094,0.517714,-2.46098,1,8.27887,2.34938,3.11248,7.30292,3.89963,1.38522,0.924214,-1,18.249,21.79380237620415,True,False,False,1,52635,9.74581,-14.754982396392062,0
147929,523967722,2.88506,1.20418,1.81982,-1.88728,2.18215,-0.782528,0.986239,1,76.6785,16.675,10.3658,-74.1221,19.6343,-2.03868,0.556179,-1,9.20759,6.151000389472531,False,False,False,2,72685,-1.88728,9.390251495798339,0
146644,941974702,12.7833,3.26222,-1.56492,-12.2605,3.61815,-1.93466,-0.447284,1,47.956,11.3338,-6.27531,46.1729,12.9551,1.98318,-0.505666,-1,47.5888,53.27418374729935,True,False,True,3,14657,-12.2605,33.56985229883869,0
147929,382680244,42.2241,-11.7023,-10.2301,-39.2591,15.5434,-1.65676,-2.42322,1,25.6305,2.59757,6.21938,24.7284,6.74003,2.01111,1.17516,-1,65.5296,60.425024119537866,True,False,True,4,72080,-39.2591,51.39573415047808,0
147754,232053182,3.38651,0.158309,-2.38207,-2.40191,2.38732,-0.885686,-1.50444,1,57.7271,17.9992,3.3489,-54.747,18.3081,-1.81538,0.183955,-1,11.7579,21.78145725829981,True,False,False,5,60344,-2.40191,-74.015140884798,0
148031,131860240,12.8506,2.06408,-0.840373,-12.6559,2.2286,-2.43756,-0.386647,-1,37.0586,-12.9849,10.5853,-33.0557,16.7528,-1.43156,2.45765,1,13.6802,16.8991816586395,False,False,False,6,53595,-12.6559,-26.71515626253227,0
149011,629007054,3.07765,-1.92134,-2.04543,-1.26357,2.8063,-0.436289,-2.32492,-1,81.5398,16.426,-6.55161,79.599,17.6844,2.20959,-0.379521,1,27.1915,34.65257447791508,True,False,False,7,48221,-1.26357,71.81225950826723,0
148031,530611810,172.657,31.5782,-13.9874,169.167,34.5374,2.29225,-0.416972,-1,2.7123,-1.66682,-1.35697,1.65436,2.14934,0.708836,-2.45831,1,21.0756,22.01938184304386,True,False,False,8,59626,169.167,-21.75923638395464,0
148029,158254621,24.5924,19.5071,0.94342,14.9454,19.5299,0.705309,0.0483252,1,72.8401,-20.399,1.24056,69.9144,20.4367,1.94379,3.08085,-1,47.8156,54.74942041131013,True,False,True,9,78287,14.9454,109.17576982439306,0
147929,48529084,23.2323,10.6588,20.1426,-4.51747,22.7889,-0.196955,1.08409,1,47.6882,3.12508,-29.6518,37.2179,29.816,1.0465,-1.46579,-1,60.6629,61.77405336698552,True,False,True,10,67827,-4.51747,16.9457030703359,0
146944,723374385,3.99105,-3.19124,1.14307,2.10664,3.38978,0.587145,2.79764,-1,126.181,26.6201,18.3792,121.964,32.3485,2.03745,0.604273,1,24.924,26.702234042515364,True,False,False,11,88318,2.10664,114.64685642195968,0
149182,159789875,14.4932,-0.249216,-14.202,2.87966,14.2042,0.201369,-1.58834,1,88.477,18.3314,29.2187,81.4764,34.4931,1.59477,1.01048,1,54.1705,51.41991421788367,True,False,True,12,95832,2.87966,72.03478046892639,0
146511,333233357,4.24756,1.49447,1.94165,-3.46963,2.45019,-1.14728,0.914811,1,51.3625,-5.70954,13.206,-49.3063,14.3874,-1.94549,1.97887,-1,7.74367,4.588089081064188,False,False,False,13,98913,-3.46963,-72.94709439172001,0
147929,436276860,112.815,4.76362,-24.1615,110.094,24.6266,2.20294,-1.37614,-1,28.4257,-5.92115,-3.2447,27.6122,6.7519,2.1162,-2.6403,1,15.2782,14.97402961089085,False,False,False,14,73259,110.094,40.03272812774749,0
149182,120852178,43.1486,-8.03685,37.9088,-18.977,38.7514,-0.471991,1.77971,1,48.1184,4.01455,-24.179,41.4082,24.51,1.29546,-1.40626,-1,87.303,91.9284930257338,True,True,True,15,95590,-18.977,59.46792430808743,0
147114,93985521,19.6241,11.2692,3.98219,15.5645,11.9521,1.07981,0.339673,1,9.03594,1.84621,-0.28692,8.84067,1.86837,2.25843,-0.154177,1,6.33393,0.8699814284986642,False,False,False,16,37460,15.5645,52.35312287782166,0
146644,754852863,4.23086,3.46348,-1.03999,2.19611,3.61625,0.575066,-0.291706,1,87.888,-0.0181654,-19.7813,85.6329,19.7813,2.17156,-1.57171,1,18.0706,17.14697111947823,False,False,False,17,9477,2.19611,72.49275204617814,0
146944,484656655,2.52771,-1.26936,2.14568,0.417264,2.49304,0.1666,2.10501,-1,13.3622,-2.43769,-2.49854,12.8982,3.49071,2.01796,-2.34387,-1,7.8308,7.785972941599546,False,False,False,18,92323,0.417264,19.303221998398694,0
149181,585371225,9.12414,6.55906,6.34253,0.0326114,9.12408,0.00357421,0.768616,-1,17.8333,12.7125,-12.4657,-1.01298,17.8045,-0.0568641,-0.775596,1,17.8005,30.66306640596433,True,False,False,19,33694,0.0326114,-25.46582148765789,0
148029,276514928,74.3261,15.1762,-13.4475,-71.5068,20.2769,-1.97298,-0.725077,-1,9.97777,-0.919781,-2.38028,-9.64594,2.55181,-2.03994,-1.93954,1,8.22295,4.441421536853673,False,False,False,20,78931,-71.5068,-67.32118258063068,0
148031,62876304,59.9095,-21.1839,13.5383,54.3792,25.1404,1.51425,2.57293,1,3.9453,3.09565,-2.3901,0.519375,3.91096,0.132412,-0.657486,-1,24.7408,22.88044545692508,True,False,False,21,57126,54.3792,-50.998424680723794,0
149181,1387036805,45.63,-24.2083,-34.8952,-16.6847,42.4702,-0.383395,-2.17731,1,48.0788,15.275,45.4989,-2.84562,47.9945,-0.0592559,1.2469,-1,90.5961,95.3427260906988,True,True,True,22,29040,-16.6847,-66.4507151469873,0
147929,151207223,20.4346,-8.0097,13.1011,13.4826,15.3556,0.792443,2.11954,-1,22.0601,-21.9823,1.80129,0.425943,22.056,0.0193107,3.05983,1,22.153,33.37805170723946,True,False,False,23,70157,13.4826,-20.02186587911358,0
146644,781100601,38.5237,-6.00717,15.9699,-34.5391,17.0623,-1.45445,1.93058,1,5.77326,2.49878,0.796145,5.14323,2.62255,1.42613,0.308444,1,28.3671,21.65589129107884,False,False,False,24,16091,-34.5391,36.307935969904136,0
149011,943200332,27.0791,-15.4012,7.2806,21.0493,17.0354,1.03858,2.7,1,16.5744,-1.35893,-4.7428,-15.8231,4.93364,-1.882,-1.84984,-1,39.887,31.4935853283223,True,False,False,25,46241,21.0493,3.782651415991186,0
149011,320286417,86.9074,-15.3509,-15.5106,-84.1229,21.8227,-2.05889,-2.35102,-1,66.8605,7.86558,12.1043,-65.2836,14.4354,-2.21421,0.994549,1,35.4207,31.86217521598873,True,False,False,26,44145,-84.1229,-116.47706677777785,0
148031,220533521,2.41764,2.40278,0.0844518,0.253907,2.40427,0.105411,0.0351331,1,61.367,-1.55503,12.7985,59.9974,12.8926,2.24215,1.6917,-1,16.4794,19.52599136415346,False,False,False,29,59935,0.253907,70.46399299380377,0
149011,452100389,17.3466,-12.7493,-0.564375,11.7491,12.7618,0.824137,-3.09735,-1,94.4483,23.7984,3.67378,-91.327,24.0803,-2.04314,0.153161,1,77.677,79.209684639844,True,True,True,30,50727,11.7491,-91.86251200822953,0
