,0
0,9603
1,8104
2,5971
3,7053
4,3288
5,7615
6,4803
7,9306
8,2131
9,7844
10,5654
11,10674
12,7825
13,8968
14,5546
15,6926
16,4735
17,2640
18,1881
19,7235
20,3836
21,6349
22,3639
23,6119
24,9173
25,7595
26,2517
27,319
28,1812
29,295
30,10781
31,8198
32,8143
33,1514
34,2721
35,4560
36,8504
37,6102
38,9202
39,2557
40,209
41,1197
42,7288
43,7469
44,7609
45,5405
46,7746
47,5643
48,10225
49,7579
50,6831
51,6243
52,4300
53,4201
54,9243
55,10318
56,7747
57,3484
58,7491
59,10007
60,6270
61,2403
62,45
63,2947
64,4858
65,8381
66,5090
67,7038
68,749
69,2602
70,4237
71,2443
72,10784
73,2137
74,3115
75,4120
76,8738
77,1574
78,10774
79,1457
80,8222
81,3147
82,5156
83,10470
84,53
85,27
86,5263
87,5482
88,4260
89,10277
90,8437
91,8494
92,6378
93,4992
94,2535
95,9339
96,2456
97,8798
98,7636
99,5371
100,1602
101,4072
102,9875
103,10253
104,2089
105,2761
106,9985
107,7468
108,5139
109,8257
110,1548
111,5422
112,5046
113,7649
114,8282
115,9379
116,3621
117,9540
118,4733
119,1005
120,10387
121,3352
122,3669
123,7778
124,2304
125,3357
126,2690
127,8394
128,2126
129,450
130,9349
131,9106
132,9080
133,5715
134,2964
135,338
136,7621
137,7270
138,9265
139,5216
140,8107
141,2862
142,9390
143,10650
144,1373
145,5145
146,5326
147,7899
148,10717
149,8305
150,2128
151,8961
152,8821
153,6269
154,3370
155,7480
156,2629
157,7455
158,6994
159,3704
160,72
161,7588
162,2241
163,6076
164,8850
165,1515
166,7155
167,3143
168,5021
169,3745
170,3243
171,8800
172,3969
173,3032
174,10562
175,10412
176,1712
177,1761
178,4096
179,4714
180,8932
181,3205
182,10071
183,7142
184,2920
185,7059
186,9829
187,4832
188,3713
189,363
190,592
191,9331
192,6348
193,8058
194,1066
195,137
196,10015
197,3767
198,3347
199,3121
200,3133
201,474
202,1942
203,9444
204,213
205,4738
206,4168
207,5571
208,7338
209,1747
210,7870
211,1890
212,2340
213,3966
214,761
215,1637
216,1483
217,9558
218,934
219,6448
220,7100
221,3986
222,4342
223,2648
224,10068
225,4224
226,4547
227,2025
228,8103
229,5093
230,8884
231,9035
232,7759
233,3356
234,3086
235,1649
236,9553
237,3946
238,3481
239,7739
240,9690
241,1756
242,3082
243,1323
244,4167
245,3785
246,5022
247,552
248,9500
249,9434
250,6148
251,5389
252,7683
253,3135
254,10363
255,8915
256,3541
257,5247
258,9741
259,4958
260,750
261,3870
262,2568
263,8771
264,9232
265,10282
266,3774
267,9470
268,7659
269,2320
270,8531
271,9314
272,9359
273,1360
274,457
275,6654
276,8221
277,7994
278,2093
279,1140
280,6230
281,1631
282,4936
283,355
284,4457
285,1583
286,3996
287,2987
288,1062
289,1848
290,4434
291,2732
292,5411
293,6801
294,8619
295,5007
296,5697
297,6839
298,3329
299,2258
300,4284
301,6840
302,5919
303,1004
304,4015
305,1566
306,6234
307,5693
308,8201
309,4570
310,10088
311,7238
312,3003
313,1605
314,5205
315,1683
316,4694
317,3431
318,7767
319,146
320,6121
321,7824
322,3737
323,9112
324,6974
325,6352
326,6440
327,3529
328,3363
329,5843
330,9418
331,6659
332,2773
333,2291
334,5161
335,9964
336,2290
337,5069
338,6009
339,8690
340,8627
341,7711
342,3837
343,7274
344,983
345,10390
346,7360
347,10219
348,771
349,9464
350,3311
351,154
352,3000
353,3265
354,2960
355,10573
356,651
357,7856
358,5782
359,7744
360,5412
361,4876
362,74
363,3180
364,6560
365,10216
366,9579
367,10767
368,2615
369,5820
370,10667
371,4350
372,922
373,1507
374,9755
375,512
376,3197
377,3668
378,3698
379,3671
380,6313
381,4674
382,6155
383,3254
384,10487
385,6384
386,4566
387,1506
388,1714
389,1377
390,5594
391,2119
392,5376
393,1840
394,6227
395,8167
396,9174
397,98
398,9369
399,6581
400,4004
401,1597
402,7951
403,10587
404,633
405,910
406,10306
407,2606
408,3151
409,10090
410,3035
411,6674
412,3330
413,385
414,8219
415,1928
416,10372
417,7995
418,6934
419,2450
420,2637
421,6110
422,4821
423,4970
424,7684
425,1254
426,6906
427,5457
428,2659
429,6191
430,5907
431,1503
432,3227
433,8099
434,8300
435,3442
436,10549
437,106
438,1958
439,4299
440,9581
441,5153
442,7519
443,2686
444,7287
445,2150
446,3479
447,231
448,10122
449,10061
450,4944
451,392
452,7980
453,6065
454,7847
455,3001
456,92
457,1690
458,2349
459,6395
460,931
461,8116
462,8528
463,7654
464,2018
465,4337
466,1954
467,7358
468,1972
469,2147
470,9122
471,6397
472,3530
473,2311
474,5963
475,5789
476,6502
477,7388
478,7463
479,10218
480,1932
481,10790
482,7425
483,5462
484,1539
485,5249
486,3582
487,619
488,7033
489,145
490,7686
491,4689
492,7205
493,9492
494,2816
495,8720
496,4888
497,4909
498,8121
499,6835
500,7283
501,2622
502,2927
503,7189
504,9247
505,6675
506,4121
507,3760
508,3667
509,792
510,3102
511,5450
512,3783
513,347
514,8878
515,1775
516,4969
517,5813
518,8845
519,3161
520,8039
521,8368
522,1073
523,4989
524,8958
525,1138
526,838
527,7840
528,8557
529,5588
530,4978
531,4573
532,5140
533,4664
534,8980
535,4318
536,3496
537,3625
538,10729
539,10750
540,9391
541,9607
542,8302
543,6160
544,3
545,6318
546,565
547,4486
548,6271
549,1458
550,10770
551,10646
552,6198
553,1190
554,7291
555,2094
556,2609
557,4107
558,4581
559,902
560,9792
561,257
562,6490
563,9488
564,3852
565,8584
566,8378
567,7827
568,7500
569,9097
570,3606
571,6481
572,10672
573,1544
574,5329
575,3548
576,9225
577,3134
578,9269
579,1494
580,10635
581,5061
582,10556
583,8414
584,1823
585,9919
586,2295
587,10586
588,5533
589,937
590,10582
591,5212
592,655
593,5680
594,3120
595,8824
596,7289
597,8727
598,163
599,7271
600,5395
601,3757
602,6072
603,2096
604,4080
605,9531
606,5174
607,7709
608,2261
609,7020
610,5834
611,10542
612,8274
613,9209
614,3992
615,6115
616,278
617,5897
618,4273
619,149
620,4113
621,7150
622,799
623,8049
624,5045
625,8044
626,8294
627,8118
628,5746
629,8508
630,10492
631,10675
632,7943
633,8065
634,9709
635,414
636,1861
637,3839
638,5453
639,8909
640,6041
641,5511
642,7525
643,6692
644,5558
645,2192
646,9851
647,4478
648,4419
649,3289
650,8384
651,10539
652,7464
653,9777
654,7078
655,4696
656,3156
657,948
658,8566
659,3897
660,3842
661,7019
662,4234
663,843
664,8502
665,9006
666,4487
667,5774
668,367
669,6859
670,239
671,6060
672,7606
673,6552
674,3788
675,7905
676,7096
677,5275
678,9604
679,5402
680,2908
681,2362
