,0
0,127
1,717
2,166
3,3539
4,1104
5,422
6,149
7,4327
8,807
9,1921
10,349
11,890
12,1376
13,2663
14,974
15,8
16,2167
17,268
18,3001
19,2880
20,398
21,1237
22,371
23,983
24,2422
25,869
26,1709
27,984
28,2442
29,258
30,2153
31,2569
32,4276
33,1225
34,402
35,285
36,2760
37,2619
38,1024
39,2182
40,1432
41,947
42,893
43,4005
44,1037
45,4261
46,2234
47,3004
48,2312
49,2514
50,133
51,2822
52,1393
53,3564
54,1514
55,546
56,126
57,3563
58,604
59,797
60,2889
61,1978
62,208
63,1349
64,44
65,4094
66,3073
67,4090
68,234
69,1084
70,3869
71,1648
72,3974
73,1113
74,2492
75,3058
76,367
77,205
78,4124
79,1849
80,1198
81,1724
82,358
83,2626
84,4924
85,2112
86,2058
87,270
88,307
89,419
90,3877
91,3490
92,3280
93,1064
94,1414
95,1167
96,2219
97,3824
98,2128
99,641
100,3056
101,141
102,3417
103,2665
104,4781
105,3458
106,3372
107,1827
108,3475
109,2218
110,3364
111,70
112,3077
113,4509
114,1177
115,915
116,1002
117,497
118,1061
119,1465
120,3176
121,1588
122,3737
123,3206
124,1481
125,1340
126,616
127,1903
128,3264
129,3301
130,1900
131,1515
132,5004
133,4411
134,158
135,1424
136,1048
137,900
138,353
139,4108
140,414
141,3492
142,1110
143,6557
144,183
145,4765
146,2347
147,578
148,4187
149,324
150,3338
151,1300
152,1857
153,910
154,3645
155,5085
156,4088
157,1795
158,4548
159,4295
160,4468
161,775
162,2257
163,465
164,325
165,2270
166,10
167,3603
168,5146
169,734
170,4300
171,1192
172,1687
173,204
174,2850
175,3134
176,1895
177,1817
178,2173
179,1508
180,1979
181,1431
182,3344
183,5446
184,1752
185,645
186,4422
187,713
188,682
189,2151
190,746
191,4523
192,2225
193,2109
194,2421
195,3951
196,716
197,2102
198,3647
199,3850
200,1136
201,2403
202,3339
203,3819
204,2462
205,2003
206,1675
207,1607
208,3463
209,2637
210,2052
211,1274
212,484
213,1523
214,212
215,3985
216,2306
