Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M,M_noise,y_50,y_10,y_25,index_reduced,index_og,s1,s2,in_sample
147926,85333276,15.8833,-4.30793,-0.517969,-15.2792,4.33895,-1.97158,-3.02193,1,50.2075,-7.64078,13.7182,-47.6888,15.7026,-1.83008,2.07898,-1,9.27426,20.10842383567593,False,False,False,0,82260,13.218733913633969,-73.06176640488181,0
148031,281560866,20.4772,-13.9966,-11.3328,9.74581,18.0094,0.517714,-2.46098,1,8.27887,2.34938,3.11248,7.30292,3.89963,1.38522,0.924214,-1,18.249,21.79380237620415,True,False,False,1,52635,-3.2481215963356806,-24.53659182784648,0
147929,523967722,2.88506,1.20418,1.81982,-1.88728,2.18215,-0.782528,0.986239,1,76.6785,16.675,10.3658,-74.1221,19.6343,-2.03868,0.556179,-1,9.20759,6.151000389472531,False,False,False,2,72685,-15.691636918403354,-99.30396518212062,0
146644,941974702,12.7833,3.26222,-1.56492,-12.2605,3.61815,-1.93466,-0.447284,1,47.956,11.3338,-6.27531,46.1729,12.9551,1.98318,-0.505666,-1,47.5888,53.27418374729935,True,False,True,3,14657,-42.51985231042056,37.72745569870878,0
147929,382680244,42.2241,-11.7023,-10.2301,-39.2591,15.5434,-1.65676,-2.42322,1,25.6305,2.59757,6.21938,24.7284,6.74003,2.01111,1.17516,-1,65.5296,60.425024119537866,True,False,True,4,72080,-14.66304905360822,6.89985848947337,0
147754,232053182,3.38651,0.158309,-2.38207,-2.40191,2.38732,-0.885686,-1.50444,1,57.7271,17.9992,3.3489,-54.747,18.3081,-1.81538,0.183955,-1,11.7579,21.78145725829981,True,False,False,5,60344,21.561757424836003,-47.22546125888025,0
148031,131860240,12.8506,2.06408,-0.840373,-12.6559,2.2286,-2.43756,-0.386647,-1,37.0586,-12.9849,10.5853,-33.0557,16.7528,-1.43156,2.45765,1,13.6802,16.8991816586395,False,False,False,6,53595,-32.44157992388871,-50.45240173601559,0
149011,629007054,3.07765,-1.92134,-2.04543,-1.26357,2.8063,-0.436289,-2.32492,-1,81.5398,16.426,-6.55161,79.599,17.6844,2.20959,-0.379521,1,27.1915,34.65257447791508,True,False,False,7,48221,6.855391149541614,81.90316685435793,0
148031,530611810,172.657,31.5782,-13.9874,169.167,34.5374,2.29225,-0.416972,-1,2.7123,-1.66682,-1.35697,1.65436,2.14934,0.708836,-2.45831,1,21.0756,22.01938184304386,True,False,False,8,59626,156.42432115105697,-13.474130884271936,0
148029,158254621,24.5924,19.5071,0.94342,14.9454,19.5299,0.705309,0.0483252,1,72.8401,-20.399,1.24056,69.9144,20.4367,1.94379,3.08085,-1,47.8156,54.74942041131013,True,False,True,9,78287,39.47958825246277,62.8000384035163,1
147929,48529084,23.2323,10.6588,20.1426,-4.51747,22.7889,-0.196955,1.08409,1,47.6882,3.12508,-29.6518,37.2179,29.816,1.0465,-1.46579,-1,60.6629,61.77405336698552,True,False,True,10,67827,37.295993987780435,23.980041008303132,0
149182,159789875,14.4932,-0.249216,-14.202,2.87966,14.2042,0.201369,-1.58834,1,88.477,18.3314,29.2187,81.4764,34.4931,1.59477,1.01048,1,54.1705,51.41991421788367,True,False,True,12,95832,33.463097938422905,98.09382436211483,0
146511,333233357,4.24756,1.49447,1.94165,-3.46963,2.45019,-1.14728,0.914811,1,51.3625,-5.70954,13.206,-49.3063,14.3874,-1.94549,1.97887,-1,7.74367,4.588089081064188,False,False,False,13,98913,24.754923088905898,-48.04856898846188,0
