,0
0,0
1,1
2,2
3,3
4,5
5,6
6,8
7,9
8,10
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,21
19,22
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
28,31
29,32
30,33
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,51
49,52
50,53
51,54
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,64
60,65
61,66
62,67
63,68
64,69
65,70
66,71
67,72
68,74
69,75
70,76
71,77
72,78
73,79
74,80
75,81
76,83
77,84
78,85
79,86
80,88
81,89
82,91
83,92
84,93
85,94
86,95
87,97
88,98
89,99
90,100
91,101
92,102
93,103
94,104
95,105
96,106
97,107
98,108
99,110
100,111
101,112
102,113
103,114
104,115
105,116
106,117
107,118
108,119
109,120
110,121
111,122
112,123
113,124
114,125
115,126
116,129
117,131
118,132
119,133
120,134
121,135
122,136
123,137
124,138
125,139
126,140
127,141
128,142
129,144
130,145
131,146
132,147
133,149
134,151
135,152
136,154
137,155
138,156
139,157
140,158
141,159
142,160
143,161
144,162
145,163
146,164
147,165
148,166
149,167
150,168
151,169
152,170
153,171
154,172
155,173
156,174
157,175
158,176
159,177
160,179
161,180
162,181
163,182
164,183
165,184
166,185
167,186
168,187
169,188
170,190
171,191
172,192
173,193
174,194
175,195
176,196
177,197
178,198
179,199
180,200
181,201
182,202
183,203
184,204
185,205
186,206
187,207
188,208
189,210
190,211
191,212
192,213
193,214
194,215
195,216
196,217
197,218
198,219
199,220
200,221
201,225
202,226
203,227
204,229
205,230
206,231
207,232
208,233
209,235
210,236
211,237
212,238
213,239
214,240
215,241
216,242
217,243
218,244
219,245
220,246
221,247
222,248
223,249
224,250
225,251
226,252
227,253
228,254
229,255
230,256
231,258
232,259
233,260
234,261
235,262
236,263
237,264
238,265
239,266
240,267
241,268
242,269
243,270
244,271
245,272
246,273
247,274
248,275
249,276
250,277
251,278
252,279
253,280
254,281
255,282
256,283
257,284
258,285
259,286
260,287
261,288
262,289
263,290
264,291
265,292
266,293
267,294
268,295
269,296
270,297
271,299
272,300
273,301
274,302
275,303
276,304
277,305
278,306
279,307
280,310
281,311
282,312
283,313
284,314
285,315
286,316
287,317
288,319
289,320
290,321
291,322
292,325
293,326
294,327
295,328
296,329
297,330
298,331
299,332
300,333
301,334
302,335
303,336
304,337
305,338
306,339
307,340
308,341
309,342
310,343
311,344
312,345
313,346
314,347
315,348
316,349
317,350
318,351
319,352
320,353
321,354
322,355
323,356
324,357
325,358
326,360
327,361
328,362
329,363
330,364
331,365
332,367
333,368
334,369
335,370
336,371
337,372
338,373
339,376
340,377
341,378
342,379
343,380
344,381
345,382
346,383
347,384
348,385
349,386
350,387
351,388
352,389
353,390
354,391
355,393
356,394
357,395
358,396
359,397
360,398
361,399
362,400
363,401
364,402
365,404
366,405
367,406
368,407
369,408
370,409
371,410
372,412
373,413
374,414
375,416
376,417
377,418
378,420
379,421
380,422
381,423
382,424
383,425
384,427
385,428
386,429
387,430
388,431
389,432
390,433
391,434
392,435
393,436
394,437
395,438
396,439
397,440
398,441
399,442
400,443
401,444
402,445
403,446
404,447
405,448
406,449
407,450
408,451
409,452
410,453
411,454
412,455
413,456
414,458
415,459
416,460
417,461
418,462
419,463
420,464
421,465
422,466
423,467
424,468
425,469
426,470
427,471
428,472
429,473
430,474
431,475
432,477
433,478
434,479
435,480
436,481
437,482
438,483
439,485
440,486
441,487
442,488
443,489
444,490
445,491
446,492
447,493
448,494
449,495
450,496
451,498
452,499
453,500
454,501
455,502
456,503
457,504
458,505
459,506
460,507
461,508
462,509
463,510
464,511
465,512
466,514
467,518
468,519
469,520
470,521
471,522
472,524
473,525
474,526
475,527
476,528
477,529
478,530
479,531
480,532
481,533
482,534
483,535
484,536
485,537
486,538
487,539
488,540
489,541
490,542
491,543
492,544
493,545
494,546
495,547
496,548
497,549
498,550
499,551
500,552
501,553
502,555
503,556
504,557
505,558
506,559
507,560
508,561
509,562
510,563
511,564
512,565
513,566
514,567
515,568
516,569
517,571
518,572
519,573
520,574
521,575
522,576
523,577
524,578
525,579
526,581
527,582
528,583
529,585
530,586
531,587
532,588
533,589
534,590
535,592
536,593
537,594
538,595
539,596
540,597
541,598
542,599
543,600
544,601
545,602
546,603
547,604
548,605
549,606
550,607
551,609
552,610
553,611
554,612
555,613
556,614
557,615
558,616
559,617
560,618
561,619
562,620
563,621
564,622
565,623
566,624
567,625
568,626
569,627
570,629
571,630
572,632
573,633
574,634
575,635
576,636
577,637
578,638
579,639
580,640
581,641
582,643
583,644
584,645
585,647
586,649
587,650
588,651
589,652
590,653
591,654
592,655
593,656
594,657
595,659
596,660
597,661
598,662
599,663
600,664
601,665
602,666
603,667
604,668
605,669
606,670
607,671
608,675
609,676
610,677
611,678
612,679
613,681
614,682
615,683
616,685
617,687
618,688
619,689
620,690
621,691
622,692
623,693
624,694
625,695
626,696
627,697
628,698
629,699
630,700
631,702
632,704
633,706
634,707
635,708
636,710
637,711
638,712
639,714
640,715
641,716
642,717
643,718
644,720
645,721
646,723
647,725
648,726
649,727
650,728
651,729
652,730
653,731
654,732
655,733
656,734
657,736
658,737
659,738
660,739
661,740
662,742
663,743
664,744
665,746
666,747
667,748
668,749
669,750
670,751
671,752
672,753
673,754
674,755
675,756
676,757
677,758
678,759
679,760
680,761
681,762
682,763
683,764
684,765
685,766
686,767
687,768
688,769
689,770
690,771
691,772
692,773
693,774
694,775
695,776
696,777
697,778
698,779
699,780
700,781
701,782
702,783
703,784
704,785
705,786
706,787
707,788
708,789
709,790
710,791
711,792
712,793
713,794
714,795
715,796
716,797
717,799
718,800
719,802
720,803
721,804
722,805
723,806
724,807
725,808
726,809
727,810
728,811
729,812
730,813
731,814
732,816
733,817
734,818
735,819
736,820
737,821
738,822
739,823
740,824
741,825
742,826
743,827
744,828
745,829
746,830
747,831
748,832
749,833
750,834
751,835
752,836
753,837
754,838
755,839
756,840
757,841
758,842
759,843
760,844
761,845
762,846
763,847
764,848
765,849
766,850
767,851
768,852
769,853
770,854
771,855
772,856
773,857
774,859
775,860
776,861
777,862
778,863
779,864
780,865
781,866
782,867
783,868
784,869
785,871
786,872
787,873
788,874
789,875
790,876
791,877
792,879
793,880
794,881
795,882
796,883
797,884
798,885
799,886
800,887
801,888
802,889
803,890
804,891
805,892
806,893
807,894
808,895
809,896
810,897
811,898
812,899
813,900
814,901
815,902
816,903
817,904
818,905
819,906
820,908
821,909
822,911
823,912
824,913
825,914
826,915
827,916
828,917
829,918
830,919
831,920
832,921
833,922
834,923
835,924
836,925
837,926
838,927
839,928
840,929
841,931
842,932
843,933
844,934
845,935
846,936
847,937
848,938
849,941
850,942
851,943
852,944
853,945
854,946
855,947
856,948
857,949
858,950
859,953
860,954
861,955
862,956
863,957
864,958
865,960
866,961
867,962
868,963
869,964
870,967
871,968
872,969
873,970
874,971
875,972
876,973
877,974
878,975
879,976
880,977
881,978
882,979
883,980
884,981
885,982
886,983
887,984
888,985
889,986
890,987
891,988
892,989
893,990
894,991
895,992
896,993
897,994
898,995
899,996
900,997
901,998
902,999
903,1000
904,1001
905,1002
906,1003
907,1004
908,1005
909,1006
910,1007
911,1008
912,1009
913,1010
914,1011
915,1012
916,1013
917,1014
918,1015
919,1016
920,1017
921,1018
922,1019
923,1020
924,1021
925,1022
926,1024
927,1025
928,1026
929,1029
930,1030
931,1031
932,1032
933,1033
934,1034
935,1035
936,1036
937,1037
938,1038
939,1039
940,1040
941,1041
942,1042
943,1044
944,1045
945,1046
946,1047
947,1048
948,1049
949,1051
950,1053
951,1054
952,1055
953,1056
954,1057
955,1058
956,1059
957,1060
958,1061
959,1062
960,1063
961,1064
962,1065
963,1066
964,1067
965,1068
966,1069
967,1070
968,1071
969,1072
970,1073
971,1075
972,1076
973,1077
974,1078
975,1079
976,1081
977,1082
978,1083
979,1084
980,1085
981,1086
982,1087
983,1088
984,1089
985,1090
986,1092
987,1093
988,1094
989,1095
990,1096
991,1098
992,1099
993,1100
994,1102
995,1103
996,1104
997,1105
998,1106
999,1107
1000,1108
1001,1109
1002,1110
1003,1111
1004,1112
1005,1113
1006,1114
1007,1115
1008,1116
1009,1117
1010,1118
1011,1119
1012,1120
1013,1121
1014,1124
1015,1125
1016,1126
1017,1127
1018,1128
1019,1129
1020,1130
1021,1131
1022,1132
1023,1133
1024,1134
1025,1135
1026,1136
1027,1137
1028,1138
1029,1139
1030,1140
1031,1141
1032,1142
1033,1143
1034,1144
